Period,Inventory Bldgs,Inventory Units,Inventory Avg SF,Asking Rent Per Unit,Asking Rent Per SF,Asking Rent % Growth/Yr,Effective Rent Per Unit,Effective Rent Per SF,Effective Rent % Growth/Yr,Effective Rent Concessions %,Vacancy Units,Vacancy Percent,Vacancy % Growth/Yr,Occupancy Units,Occupancy Percent,Occupancy % Growth/Yr,Absorption Units,Absorption Percent,Under Construction Bldgs,Under Construction Units,Under Construction Percent,Deliveries Bldgs,Deliveries Units,Deliveries Percent
2024 Q1 QTD,"158,903","2,839,217",839,"$2,238 ",$2.75 ,0.80%,2220,$2.73 ,0.80%,0.80%,"147,147",5.30%,0.40%,"2,654,805.00",94.70%,-0.40%,"2,001",0.10%,0,0,0.00%,34,"2,202",0.10%
2023 Q4,"158,869","2,837,015",838,"$2,232 ",$2.74 ,1.00%,2213,$2.72 ,0.90%,0.90%,"146,971",5.20%,0.50%,"2,652,810.00",94.80%,-0.50%,"1,841",0.10%,34,"2,202",0.10%,68,"6,836",0.20%
2023 Q3,"158,801","2,830,179",838,"$2,242 ",$2.76 ,0.70%,2224,$2.73 ,0.60%,0.80%,"141,967",5.10%,0.70%,"2,650,978.00",94.90%,-0.70%,"3,113",0.10%,102,"9,038",0.30%,82,"7,319",0.30%
2023 Q2,"158,719","2,822,860",838,"$2,249 ",$2.77 ,0.80%,2231,$2.74 ,0.60%,0.80%,"137,761",4.90%,1.00%,"2,647,865.00",95.10%,-1.00%,"3,440",0.10%,183,"16,353",0.60%,74,"6,302",0.20%
2023 Q1,"158,645","2,816,558",838,"$2,228 ",$2.74 ,2.00%,2210,$2.72 ,1.90%,0.80%,"135,060",4.90%,1.00%,"2,644,411.00",95.10%,-1.00%,"1,975",0.10%,255,"22,542",0.80%,141,"5,910",0.20%
2022 Q4,"158,504","2,810,648",838,"$2,209 ",$2.72 ,3.10%,2193,$2.70 ,3.10%,0.70%,"131,310",4.70%,0.90%,"2,642,453.00",95.30%,-0.90%,"-3,303",-0.10%,381,"27,948",1.00%,57,"6,126",0.20%
2022 Q3,"158,447","2,804,522",837,"$2,226 ",$2.74 ,4.80%,2212,$2.72 ,4.90%,0.70%,"121,922",4.40%,0.50%,"2,645,751.00",95.60%,-0.50%,"-1,469",-0.10%,415,"32,573",1.20%,100,"10,354",0.40%
2022 Q2,"158,347","2,794,168",837,"$2,232 ",$2.75 ,8.10%,2219,$2.73 ,8.50%,0.60%,"110,086",4.00%,-0.30%,"2,647,253.00",96.00%,0.30%,"2,505",0.10%,482,"42,014",1.50%,97,"5,952",0.20%
2022 Q1,"158,250","2,788,216",837,"$2,184 ",$2.69 ,9.40%,2169,$2.67 ,10.00%,0.70%,"106,621",3.90%,-1.00%,"2,644,778.00",96.10%,1.00%,"5,950",0.20%,526,"44,459",1.60%,126,"6,672",0.20%
2021 Q4,"158,124","2,781,544",837,"$2,142 ",$2.63 ,9.00%,2127,$2.61 ,9.50%,0.70%,"105,846",3.90%,-1.40%,"2,638,887.00",96.10%,1.40%,"8,043",0.30%,531,"45,771",1.60%,59,"6,845",0.20%
2021 Q3,"158,065","2,774,699",836,"$2,124 ",$2.61 ,8.30%,2109,$2.59 ,9.00%,0.70%,"107,061",3.90%,-1.50%,"2,630,882.00",96.10%,1.50%,"18,996",0.70%,537,"49,165",1.80%,72,"8,756",0.30%
2021 Q2,"157,993","2,765,943",836,"$2,065 ",$2.53 ,5.20%,2044,$2.51 ,5.30%,1.00%,"117,619",4.30%,-1.20%,"2,611,950.00",95.70%,1.20%,"25,659",0.90%,566,"54,190",2.00%,103,"9,561",0.30%
2021 Q1,"157,890","2,756,382",836,"$1,997 ",$2.45 ,1.50%,1973,$2.42 ,0.90%,1.20%,"133,650",4.90%,-0.30%,"2,586,358.00",95.10%,0.30%,"15,308",0.60%,597,"59,521",2.20%,121,"5,398",0.20%
2020 Q4,"157,769","2,750,984",836,"$1,966 ",$2.41 ,0.00%,1942,$2.38 ,-0.50%,1.20%,"143,563",5.30%,0.40%,"2,571,090.00",94.70%,-0.40%,"9,448",0.30%,561,"54,017",2.00%,69,"5,698",0.20%
2020 Q3,"157,700","2,745,286",836,"$1,961 ",$2.40 ,-0.10%,1935,$2.37 ,-0.80%,1.40%,"147,287",5.40%,0.80%,"2,561,672.00",94.60%,-0.80%,"8,978",0.30%,555,"55,698",2.00%,64,"7,894",0.30%
2020 Q2,"157,636","2,737,392",836,"$1,963 ",$2.40 ,0.20%,1941,$2.38 ,0.30%,1.10%,"148,390",5.50%,0.90%,"2,552,695.00",94.50%,-0.90%,"-2,977",-0.10%,561,"56,082",2.00%,86,"6,400",0.20%
2020 Q1,"157,550","2,730,992",835,"$1,968 ",$2.41 ,1.60%,1955,$2.39 ,2.20%,0.70%,"139,194",5.20%,0.60%,"2,555,708.00",94.80%,-0.60%,298,0.00%,595,"58,949",2.20%,118,"7,534",0.30%
2019 Q4,"157,432","2,723,458",835,"$1,966 ",$2.41 ,2.50%,1952,$2.39 ,3.00%,0.70%,"132,664",4.90%,0.30%,"2,555,377.00",95.10%,-0.30%,"1,519",0.10%,594,"58,643",2.20%,74,"9,447",0.30%
2019 Q3,"157,358","2,714,011",834,"$1,963 ",$2.40 ,2.60%,1950,$2.39 ,2.90%,0.70%,"124,725",4.70%,0.20%,"2,553,869.00",95.30%,-0.20%,"5,351",0.20%,599,"61,813",2.30%,88,"7,861",0.30%
2019 Q2,"157,270","2,706,150",834,"$1,958 ",$2.40 ,2.80%,1935,$2.37 ,2.60%,1.20%,"122,185",4.60%,0.30%,"2,548,550.00",95.40%,-0.30%,"5,895",0.20%,611,"61,943",2.30%,79,"5,039",0.20%
2019 Q1,"157,191","2,701,111",834,"$1,937 ",$2.37 ,3.00%,1913,$2.34 ,3.00%,1.20%,"123,009",4.60%,0.20%,"2,542,687.00",95.40%,-0.20%,"5,914",0.20%,607,"59,716",2.20%,95,"5,497",0.20%
2018 Q4,"157,096","2,695,614",833,"$1,918 ",$2.35 ,3.30%,1895,$2.32 ,3.40%,1.20%,"123,775",4.70%,0.20%,"2,536,799.00",95.30%,-0.20%,"2,312",0.10%,583,"59,512",2.20%,57,"7,300",0.30%
