IndicatorID,IndicatorName,IndicatorUnits,ProjectID,EIPProjectNumber,IndicatorProjectYear,IndicatorProjectValue,PMSubcategoryName1,PMSubcategoryOption1,PMSubcategoryName2,PMSubcategoryOption2,PMSubcategoryName3,PMSubcategoryOption3,PMSubcategoryName4,PMSubcategoryOption4
19,Acres of Forest Fuels Reduction Treatment,acres,3741,01.01.02.0013,2015,4.0,Treatment Zone,Urban Core,Treatment Type,Hand Thinning,Initial or Maintenance Treatment,Maintenance,Property Ownership,"Local public lands (fire districts, counties, GIDs, PUDs, etc.)"
19,Acres of Forest Fuels Reduction Treatment,acres,3741,01.01.02.0013,2014,5.0,Treatment Zone,Urban Core,Treatment Type,Hand Thinning,Initial or Maintenance Treatment,Maintenance,Property Ownership,"Local public lands (fire districts, counties, GIDs, PUDs, etc.)"
19,Acres of Forest Fuels Reduction Treatment,acres,3741,01.01.02.0013,2016,1.0,Treatment Zone,Urban Core,Treatment Type,Hand Thinning,Initial or Maintenance Treatment,Maintenance,Property Ownership,"Local public lands (fire districts, counties, GIDs, PUDs, etc.)"
19,Acres of Forest Fuels Reduction Treatment,acres,3741,01.01.02.0013,2017,2.0,Treatment Zone,Urban Core,Treatment Type,Hand Thinning,Initial or Maintenance Treatment,Maintenance,Property Ownership,"Local public lands (fire districts, counties, GIDs, PUDs, etc.)"
19,Acres of Forest Fuels Reduction Treatment,acres,3741,01.01.02.0013,2018,2.0,Treatment Zone,Urban Core,Treatment Type,Hand Thinning,Initial or Maintenance Treatment,Maintenance,Property Ownership,"Local public lands (fire districts, counties, GIDs, PUDs, etc.)"
19,Acres of Forest Fuels Reduction Treatment,acres,3741,01.01.02.0013,2019,1.0,Treatment Zone,Urban Core,Treatment Type,Hand Thinning,Initial or Maintenance Treatment,Maintenance,Property Ownership,"Local public lands (fire districts, counties, GIDs, PUDs, etc.)"
19,Acres of Forest Fuels Reduction Treatment,acres,3741,01.01.02.0013,2021,0.0,Treatment Zone,Urban Core,Treatment Type,Hand Thinning,Initial or Maintenance Treatment,Maintenance,Property Ownership,"Local public lands (fire districts, counties, GIDs, PUDs, etc.)"
19,Acres of Forest Fuels Reduction Treatment,acres,3741,01.01.02.0013,2022,1.0,Treatment Zone,Urban Core,Treatment Type,Hand Thinning,Initial or Maintenance Treatment,Maintenance,Property Ownership,"Local public lands (fire districts, counties, GIDs, PUDs, etc.)"
19,Acres of Forest Fuels Reduction Treatment,acres,3741,01.01.02.0013,2023,0.0,Treatment Zone,Urban Core,Treatment Type,Hand Thinning,Initial or Maintenance Treatment,Maintenance,Property Ownership,"Local public lands (fire districts, counties, GIDs, PUDs, etc.)"
19,Acres of Forest Fuels Reduction Treatment,acres,38,01.02.01.0003,2012,1.0,Property Ownership,California Tahoe Conservancy,Initial or Maintenance Treatment,Initial,Treatment Type,Chipping,Treatment Zone,General Forest
19,Acres of Forest Fuels Reduction Treatment,acres,199,01.02.01.0025,2012,5.25,Property Ownership,Private,Initial or Maintenance Treatment,Initial,Treatment Type,Mechanical Thinning,Treatment Zone,Urban Core
19,Acres of Forest Fuels Reduction Treatment,acres,1482,01.02.01.0054,2012,2.0,Treatment Zone,General Forest,Treatment Type,Prescribed Burning,Initial or Maintenance Treatment,Maintenance,Property Ownership,California Department of Parks and Recreation
19,Acres of Forest Fuels Reduction Treatment,acres,1482,01.02.01.0054,2011,0.0,Treatment Zone,General Forest,Treatment Type,Prescribed Burning,Initial or Maintenance Treatment,Maintenance,Property Ownership,California Department of Parks and Recreation
19,Acres of Forest Fuels Reduction Treatment,acres,1482,01.02.01.0054,2010,2.5,Treatment Zone,General Forest,Treatment Type,Prescribed Burning,Initial or Maintenance Treatment,Maintenance,Property Ownership,California Department of Parks and Recreation
19,Acres of Forest Fuels Reduction Treatment,acres,1482,01.02.01.0054,2009,3.0,Treatment Zone,General Forest,Treatment Type,Prescribed Burning,Initial or Maintenance Treatment,Maintenance,Property Ownership,California Department of Parks and Recreation
19,Acres of Forest Fuels Reduction Treatment,acres,1482,01.02.01.0054,2007,0.0,Treatment Zone,General Forest,Treatment Type,Biomass Removal,Initial or Maintenance Treatment,Initial,Property Ownership,California Department of Parks and Recreation
19,Acres of Forest Fuels Reduction Treatment,acres,1482,01.02.01.0054,2008,10.0,Treatment Zone,General Forest,Treatment Type,Hand Thinning,Initial or Maintenance Treatment,Initial,Property Ownership,California Department of Parks and Recreation
19,Acres of Forest Fuels Reduction Treatment,acres,4364,01.02.01.0097,2023,0.5,Treatment Zone,Community Defense Zone,Treatment Type,Hand Thinning,Initial or Maintenance Treatment,Initial,Property Ownership,California Department of Parks and Recreation
19,Acres of Forest Fuels Reduction Treatment,acres,4364,01.02.01.0097,2023,0.5,Treatment Zone,Community Defense Zone,Treatment Type,Biomass Removal,Initial or Maintenance Treatment,Initial,Property Ownership,California Department of Parks and Recreation
19,Acres of Forest Fuels Reduction Treatment,acres,4094,01.02.02.0002,2018,7.67,Treatment Zone,Community Defense Zone,Treatment Type,Hand Thinning,Initial or Maintenance Treatment,Initial,Property Ownership,Nevada Division of State Lands
19,Acres of Forest Fuels Reduction Treatment,acres,5,02.01.01.0001,2013,47.0,Property Ownership,California Tahoe Conservancy,Initial or Maintenance Treatment,Initial,Treatment Type,Hand Thinning,Treatment Zone,Community Defense Zone
19,Acres of Forest Fuels Reduction Treatment,acres,34,02.01.01.0002,2013,20.0,Property Ownership,California Tahoe Conservancy,Initial or Maintenance Treatment,Initial,Treatment Type,Hand Thinning,Treatment Zone,Community Defense Zone
